id	affixes	text	ja_norm_ud2.bpe_13230.txt	ja_norm_ud2.bpe_26460.txt	ja_norm_ud2.bpe_52920.txt	ja_ud2.bpe_13230.txt	ja_ud2.bpe_26460.txt	ja_ud2.bpe_52920.txt
366	-であっ,-なり,-にとっての	これが暴力漫画一辺倒であった雁屋にとっての転換点となり、『美味しんぼ』のヒットの伏線となる。	▁これが 暴力 漫画 一 辺 倒 だた 雁 屋 にとって の 転換 点となる 、『 美味 しん ぼ 』 の ヒット の 伏 線 となる 。	▁これが 暴力 漫画 一 辺 倒 だた 雁 屋 にとって の転換 点となる 、『 美味 しんぼ 』 のヒット の伏 線 となる 。	▁これが 暴力漫画一辺倒 だた 雁 屋 にとっての転換 点となる 、『 美味しんぼ 』 のヒット の伏線となる 。	▁これが 暴力 漫画 一 辺 倒 であった 雁 屋 にとって の 転換 点 となり 、『 美味 しん ぼ 』 のヒ ットの 伏 線 となる 。	▁これが 暴力 漫画 一 辺 倒 であった 雁 屋 にとって の転換 点 となり 、『 美味 しんぼ 』 のヒ ットの 伏 線 となる 。	▁これが 暴力漫画一辺倒 であった 雁 屋 にとって の転換 点 となり 、『 美味しんぼ 』 のヒ ットの 伏 線 となる 。
367	-かな,-から,-たら,-だろう,-ていまし,-どか,-ので	天井のカビが前からひどかったので、さすがにそこは無理だろうとあきらめていましたが、先週実家に帰ったらそのカビもかなりきれいに落ちていました。	▁天 井 のカ ビ が 前から ひど いた ので 、 さ すが に そこ は 無理 だうと あ き ら めるている ますたが 、 先 週 実 家 に帰 るたら その カ ビ もかなり きれいだ 落ち るている ますた 。	▁天井 のカ ビ が 前から ひど いた ので 、 さすがに そこは 無理 だうと あ きら めるている ますたが 、 先 週 実 家 に帰 るたら その カビ もかなり きれいだ 落ち るている ますた 。	▁天井のカ ビ が 前から ひど いた ので 、 さすがに そこは 無理 だうとあきら めるている ますたが 、 先 週 実 家 に帰 るたら そのカビもかなり きれいだ 落ち るている ますた 。	▁天 井 のカ ビ が 前から ひど かったので 、 さ すが に そこ は 無理 だろうと あ き らめ てい ましたが 、 先 週 実 家 に帰 ったら その カ ビ もかなり きれ いに 落ち ていました 。	▁天井 のカ ビ が 前から ひど かったので 、 さすがに そこは 無理 だろうと あ きらめ ていましたが 、 先 週 実 家 に帰 ったら その カビ もかなり きれいに 落ち ていました 。	▁天井のカ ビ が 前から ひど かったので 、 さすがに そこは無理 だろうと あ きらめ ていましたが 、 先 週 実 家 に帰 ったらそのカビ もかなり きれいに 落ちていました 。
368	-から,-ために,-とっ,-ないです	その気持はわからなくもないですが,説明会を成立させるために蔵原氏がとった行動がまた意味不明。	▁その 気 持 は わかるない もない だが , 説明 会を 成立 するせるた めに 蔵 原 氏が と るた 行動 が また 意味 不明 。	▁その 気持 は わかるない もない だが , 説明会を 成立 するせるために 蔵原 氏が と るた 行動 がまた 意味 不明 。	▁その 気持は わかるない もない だが , 説明会を成立 するせるために 蔵原氏がとるた 行動 がまた 意味 不明 。	▁その 気 持 は わ から なく もない ですが , 説明 会を 成立 させる ために 蔵 原 氏が と った 行動 が また 意味 不明 。	▁その 気持 は わから なく もない ですが , 説明会を 成立 させるために 蔵原 氏が と った 行動 がまた 意味 不明 。	▁その 気持 はわからなく もない ですが , 説明会を成立 させるために 蔵原氏がとった 行動 がまた意味不明 。
369	-って,-ておく,-には,-まま,-んに	20世紀初頭には建設が盛んに行われたが、イクルの町は緑の地域を何箇所かそのままの姿で残しておくことに成功し、現在ブリュッセル地域の多くの富豪を惹きつける結果となっている。	▁20 世紀初頭 には 建設 が 盛 んだ 行うれるた が 、 イク ルの 町は 緑の 地域を 何 箇所 か そのまま の姿 で 残 すて おく ことに 成功 する 、 現在 ブリ ュ ッセ ル 地域の 多くの 富 豪 を 惹 きつける 結果 となるている 。	▁20 世紀初頭には 建設が 盛んだ 行うれるた が 、 イク ルの 町は 緑の 地域を 何 箇所か そのまま の姿 で 残 すて おく ことに成功する 、 現在 ブリュ ッセル 地域の 多くの 富豪 を 惹きつける 結果 となるている 。	▁20 世紀初頭には 建設が盛んだ 行うれるた が 、 イク ルの 町は 緑の 地域を 何箇所か そのまま の姿 で 残 すて おく ことに成功する 、 現在ブリュ ッセル地域の 多くの富豪 を惹きつける結果 となるている 。	▁20 世紀初頭 には 建設 が 盛 んに 行われた が 、 イク ルの 町は 緑の 地域を 何 箇所 か そのまま の姿 で 残 して お く ことに 成功し 、 現在 ブリ ュ ッセ ル 地域の 多くの 富 豪 を 惹 き つける 結果 となっている 。	▁20 世紀初頭には 建設が 盛んに 行われた が 、 イク ルの 町は 緑の 地域を 何 箇所か そのまま の姿 で 残 してお くことに 成功し 、 現在 ブリュ ッセル 地域の 多くの 富豪 を 惹き つける 結果 となっている 。	▁20 世紀初頭には 建設が盛んに 行われた が 、 イク ルの 町は 緑の 地域を 何箇所か そのまま の姿で残してお くことに成功し 、 現在ブリュ ッセル地域の 多くの富豪を 惹きつける結果 となっている 。
370	-って	総面積の2.08%が水地域となっている。	▁総 面積 の 2 .0 8% が水 地域 となるている 。	▁総面積の 2.0 8% が水 地域 となるている 。	▁総面積の 2.08% が水 地域となるている 。	▁総 面積 の 2 .0 8% が水 地域 となっている 。	▁総面積の 2.0 8% が水 地域 となっている 。	▁総面積の 2.08% が水 地域 となっている 。
371	-ても,-ない	雪印工場をフル稼動しても間に合わない程の売れ行きを見せ、女子高生を中心に人気があった。	▁雪 印 工 場を フル 稼 動 するても 間に 合うない ほどの 売 れ 行き を見せる 、 女子 高 生 を中心に 人気 があるた 。	▁雪 印 工場を フル 稼 動 するても 間に 合うない ほどの 売れ行き を見せる 、 女子高生 を中心に 人気があるた 。	▁雪 印工場をフル稼動 するても 間に 合うない ほどの売れ行き を見せる 、 女子高生を中心に 人気があるた 。	▁雪 印 工 場を フル 稼 動 しても 間に 合 わない 程の 売 れ 行き を見せ 、 女子 高 生 を中心に 人気 があった 。	▁雪 印 工場を フル 稼 動 しても 間に 合わない 程の 売れ行き を見せ 、 女子高生 を中心に 人気があった 。	▁雪 印工場をフル稼 動 しても 間に 合わない程の 売れ行き を見せ 、 女子高生 を中心に 人気があった 。
372	-ので	5階のドアに“Welcome”とあったので開けてみた。	▁5 階の ドア に “ We l c om e ” と あるた ので 開 けるて みるた 。	▁5 階の ドア に “ We lc ome ” と あるた ので 開 けるて みるた 。	▁5 階の ドア に “ We lcome ” と あるた ので 開 けるて みるた 。	▁5 階の ドア に “ We l c om e ” と あった ので 開 けて みた 。	▁5 階の ドア に “ We lc ome ” と あった ので 開 けて みた 。	▁5 階の ドア に “ Welc ome ” と あった ので 開 けて みた 。
373	-える,-です,-ない	チーム代表のロリス・カステルッチは、「グランプリの前例のないインド出身のヤングライダーに、チャンピオンシップ参戦の可能性を与える重要なプロジェクトのコラボレーションです」と、説明。	▁ チーム 代表 のロ リス ・ カ ステル ッチは 、「 グランプリ の前 例 のない インド 出身の ヤ ング ライダー に 、 チャンピオン シップ 参 戦の 可能性 を与える 重要だ プロジェクト の コラボレーション だ 」 と 、 説明 。	▁チーム 代表 のロ リス ・ カステル ッチは 、「 グランプリ の前 例 のない インド 出身の ヤング ライダー に 、 チャンピオンシップ 参 戦の 可能性 を与える 重要だ プロジェクト の コラボレーション だ 」 と 、 説明 。	▁チーム代表のロ リス ・ カステルッチは 、「 グランプリ の前 例 のない インド 出身のヤング ライダー に 、 チャンピオンシップ 参 戦の 可能性 を与える 重要だ プロジェクト の コラボレーション だ 」 と 、 説明 。	▁ チーム 代表 のロ リス ・ カ ステル ッチは 、「 グランプリ の前 例 のない インド 出身の ヤ ング ライダー に 、 チャンピオン シップ 参 戦の 可能性 を与える 重要な プロジェクト の コラボレーション です 」 と 、 説明 。	▁チーム 代表 のロ リス ・ カステル ッチは 、「 グランプリ の前 例 のない インド 出身の ヤング ライダー に 、 チャンピオンシップ 参 戦の 可能性 を与える 重要な プロジェクト の コラボレーション です 」 と 、 説明 。	▁チーム代表のロ リス ・ カステルッチは 、「 グランプリ の前例のない インド 出身のヤング ライダー に 、 チャンピオンシップ 参 戦の 可能性 を与える 重要な プロジェクト の コラボレーション です 」 と 、 説明 。
374	-たもの,-られる,-れます	これは“好転反応”という,民間療法や擬似医療に見られる独特な論理に基づいたものと思われますが,説明は省きます。	▁これは “ 好 転 反応 ” という , 民間 療法 や 擬 似 医療 に 見るられる 独特 だ 論 理 に基づ くた もの と思うれる ますが , 説明 は 省 く ます 。	▁これは “ 好 転 反応 ” という , 民間療法 や 擬似医療 に見るられる 独特だ 論理 に基づくた もの と思うれる ますが , 説明は 省 くます 。	▁これは “ 好 転 反応 ” という , 民間療法 や 擬似医療 に見るられる 独特だ 論理に基づくた もの と思うれる ますが , 説明は省 くます 。	▁これは “ 好 転 反応 ” という , 民間 療法 や 擬 似 医療 に見 られる 独特 な 論 理 に基づ いた もの と思われます が , 説明 は 省 きます 。	▁これは “ 好 転 反応 ” という , 民間療法 や 擬似医療 に見られる 独特 な 論理 に基づいた もの と思われます が , 説明は 省 きます 。	▁これは “ 好 転 反応 ” という , 民間療法 や 擬似医療 に見られる独特 な論理に基づいた ものと思われます が , 説明は省 きます 。
375	-から,-です,-にかけての	岩ガキは5月から8月にかけての夏が旬のカキで、冬に食べるマガキに比べて身が大きく、濃厚な味わいが特徴です。	▁ 岩 ガ キ は 5 月から 8 月に かけ ての 夏 が 旬 のカ キ で 、 冬 に 食べる マガ キ に比べるて 身 が大きい 、 濃 厚 だ 味わ いが 特徴だ 。	▁岩 ガ キ は 5 月から 8 月に かけての 夏が 旬 のカ キ で 、 冬に 食べる マガ キ に比べるて 身 が大きい 、 濃厚だ味わ いが 特徴だ 。	▁岩ガキは 5 月から 8 月に かけての 夏が旬 のカ キ で 、 冬に 食べる マガ キ に比べるて 身 が大きい 、 濃厚だ味わ いが 特徴だ 。	▁ 岩 ガ キ は 5 月から 8 月にかけて の夏 が 旬 のカ キ で 、 冬 に 食べる マガ キ に比べて 身 が大きく 、 濃 厚な 味わ いが 特徴 です 。	▁岩 ガ キ は 5 月から 8 月にかけて の夏 が 旬 のカ キ で 、 冬に 食べる マガ キ に比べて 身 が大きく 、 濃厚な味わ いが 特徴 です 。	▁岩ガキは 5 月から 8 月にかけて の夏 が 旬 のカ キ で 、 冬に 食べる マガ キ に比べて 身 が大きく 、 濃厚な味わ いが 特徴 です 。
